stripe_id,k_on,k_off,initiation_rate_off,initiation_rate_on
0,0.606722803,0.607210522,433.301865,66767.2465
0.7,0.69376001,0.596359905,397.081625,69909.9348
1,1.12879921,0.461978201,2115.64164,89143.8195
1.3,0.758165481,0.904250373,637.571711,76915.9013
1.7,0.35878179,0.651591335,24.308792,47251.4121
2,0.897461294,0.760483349,680.560958,64360.9808
2.3,0.559767309,0.924456268,213.00968,52150.2506
2.7,0.196109213,0.675372648,-26.8423146,35381.1137
3,0.757219181,0.548694549,806.049996,74762.3912
3.3,0.347035627,0.736933658,323.742963,51799.9029
3.7,0.345021986,0.599062387,-58.0744033,38669.6699
4,0.946931988,0.602562216,996.549555,73352.6081
4.3,0.429381882,0.710028027,37.0711456,50866.6848
4.7,0.165858904,0.61609815,-7.05704341,44594.5674
5,0.487720621,0.610473681,93.0122811,56817.5543
5.3,0.291058625,0.606924689,-32.3283647,42820.4981
5.7,0.216036992,0.484170077,3.74953824,43691.2813
6,0.673172388,0.631569352,352.445881,62957.8174
6.3,0.524466203,0.696690308,125.94993,41702.0245
6.7,0.361421924,0.517108019,75.9820179,57131.3825
7,0.992898369,0.389137057,1172.23627,72183.8189
7.3,0.816079306,0.748358899,790.79677,63422.3804
